Date,Open,Close,High,Low
2018-01-26 13:00:00,1.42440,1.42290,1.42545,1.42216
2018-01-26 14:00:00,1.42290,1.42160,1.42323,1.41941
2018-01-26 15:00:00,1.42158,1.41823,1.42189,1.41484
2018-01-26 16:00:00,1.41827,1.41780,1.41910,1.41448
2018-01-26 17:00:00,1.41778,1.41920,1.41962,1.41719
2018-01-26 18:00:00,1.41921,1.42016,1.42019,1.41852
2018-01-26 19:00:00,1.42012,1.41575,1.42083,1.41575
2018-01-26 20:00:00,1.41572,1.41473,1.41605,1.41371
2018-01-26 21:00:00,1.41474,1.41677,1.41729,1.41425
2018-01-28 22:00:00,1.41443,1.41450,1.41476,1.41321
2018-01-28 23:00:00,1.41452,1.41516,1.41533,1.41435
2018-01-29 00:00:00,1.41516,1.41555,1.41589,1.41348
2018-01-29 01:00:00,1.41556,1.41290,1.41560,1.41248
2018-01-29 02:00:00,1.41291,1.41240,1.41331,1.41111
2018-01-29 03:00:00,1.41240,1.41434,1.41473,1.41218
2018-01-29 04:00:00,1.41436,1.41385,1.41491,1.41358
2018-01-29 05:00:00,1.41385,1.41336,1.41433,1.41299
2018-01-29 06:00:00,1.41336,1.41313,1.41441,1.41239
2018-01-29 07:00:00,1.41312,1.41271,1.41418,1.41124
2018-01-29 08:00:00,1.41271,1.41267,1.41370,1.41054
2018-01-29 09:00:00,1.41270,1.41085,1.41315,1.40942
2018-01-29 10:00:00,1.41081,1.40903,1.41235,1.40899
2018-01-29 11:00:00,1.40903,1.40625,1.40907,1.40587
2018-01-29 12:00:00,1.40626,1.40715,1.40771,1.40577
2018-01-29 13:00:00,1.40714,1.40799,1.40948,1.40689
2018-01-29 14:00:00,1.40799,1.40844,1.40974,1.40745
2018-01-29 15:00:00,1.40845,1.40638,1.40933,1.40615
2018-01-29 16:00:00,1.40638,1.40432,1.40666,1.40260
2018-01-29 17:00:00,1.40432,1.40701,1.40706,1.40349
2018-01-29 18:00:00,1.40701,1.40652,1.40773,1.40600
2018-01-29 19:00:00,1.40652,1.40773,1.40804,1.40617
2018-01-29 20:00:00,1.40773,1.40752,1.40790,1.40721
2018-01-29 21:00:00,1.40750,1.40735,1.40774,1.40689
2018-01-29 22:00:00,1.40735,1.40717,1.40767,1.40699
2018-01-29 23:00:00,1.40718,1.40731,1.40783,1.40699
2018-01-30 00:00:00,1.40732,1.40648,1.40781,1.40576
2018-01-30 01:00:00,1.40647,1.40724,1.40750,1.40558
2018-01-30 02:00:00,1.40718,1.40441,1.40721,1.40373
2018-01-30 03:00:00,1.40441,1.40559,1.40593,1.40433
2018-01-30 04:00:00,1.40559,1.40420,1.40614,1.40371
2018-01-30 05:00:00,1.40419,1.40384,1.40480,1.40361
2018-01-30 06:00:00,1.40384,1.40168,1.40428,1.40145
2018-01-30 07:00:00,1.40167,1.39961,1.40277,1.39863
2018-01-30 08:00:00,1.39954,1.40258,1.40269,1.39802
2018-01-30 09:00:00,1.40258,1.40729,1.40779,1.40211
2018-01-30 10:00:00,1.40734,1.40854,1.41057,1.40651
2018-01-30 11:00:00,1.40854,1.41279,1.41283,1.40823
2018-01-30 12:00:00,1.41274,1.41169,1.41371,1.41114
2018-01-30 13:00:00,1.41171,1.41409,1.41504,1.41055
2018-01-30 14:00:00,1.41409,1.41336,1.41544,1.41294
2018-01-30 15:00:00,1.41340,1.41125,1.41429,1.41069
2018-01-30 16:00:00,1.41127,1.41234,1.41356,1.40988
2018-01-30 17:00:00,1.41234,1.41433,1.41479,1.41163
2018-01-30 18:00:00,1.41434,1.41416,1.41441,1.41245
2018-01-30 19:00:00,1.41417,1.41533,1.41673,1.41360
2018-01-30 20:00:00,1.41533,1.41410,1.41566,1.41376
2018-01-30 21:00:00,1.41410,1.41477,1.41550,1.41402
2018-01-30 22:00:00,1.41493,1.41520,1.41527,1.41422
2018-01-30 23:00:00,1.41521,1.41559,1.41585,1.41401
2018-01-31 00:00:00,1.41559,1.41610,1.41708,1.41490
2018-01-31 01:00:00,1.41611,1.41568,1.41650,1.41464
2018-01-31 02:00:00,1.41566,1.41558,1.41583,1.41364
2018-01-31 03:00:00,1.41558,1.41796,1.41845,1.41550
2018-01-31 04:00:00,1.41796,1.41720,1.41810,1.41707
2018-01-31 05:00:00,1.41720,1.41893,1.41901,1.41668
2018-01-31 06:00:00,1.41894,1.42111,1.42132,1.41844
2018-01-31 07:00:00,1.42107,1.41860,1.42134,1.41834
2018-01-31 08:00:00,1.41859,1.41788,1.41978,1.41580
2018-01-31 09:00:00,1.41788,1.41287,1.41877,1.41271
2018-01-31 10:00:00,1.41301,1.41492,1.41500,1.41223
2018-01-31 11:00:00,1.41490,1.41613,1.41619,1.41367
2018-01-31 12:00:00,1.41613,1.41720,1.41727,1.41469
2018-01-31 13:00:00,1.41721,1.41764,1.41843,1.41546
2018-01-31 14:00:00,1.41768,1.41765,1.41840,1.41515
2018-01-31 15:00:00,1.41771,1.42203,1.42237,1.41651
2018-01-31 16:00:00,1.42206,1.41884,1.42329,1.41826
2018-01-31 17:00:00,1.41885,1.41846,1.42027,1.41786
2018-01-31 18:00:00,1.41844,1.41920,1.41967,1.41758
